1749772800000000,3.20780000,3.21050000,3.20360000,3.20360000,143512.10000000,1749772859999999,460127.46218000,1343,35550.00000000,113993.49882000,0
1749772860000000,3.20350000,3.20440000,3.19650000,3.19810000,156407.00000000,1749772919999999,500643.52260000,1144,49030.50000000,156928.41333000,0
1749772920000000,3.19820000,3.20000000,3.16260000,3.16670000,678937.60000000,1749772979999999,2156990.28687000,5245,278202.10000000,884473.59972000,0
1749772980000000,3.16660000,3.16660000,3.14660000,3.15720000,706471.90000000,1749773039999999,2229579.87031000,6570,315203.40000000,994922.29972000,0
1749773040000000,3.15680000,3.16760000,3.14510000,3.15760000,222445.80000000,1749773099999999,701891.35964000,2705,116010.70000000,365976.40897000,0
1749773100000000,3.15740000,3.16210000,3.14910000,3.15830000,170601.70000000,1749773159999999,538290.50249000,1775,73244.90000000,231115.97057000,0
1749773160000000,3.15840000,3.16470000,3.15370000,3.15910000,140593.70000000,1749773219999999,444044.05477000,1596,71981.90000000,227331.93302000,0
1749773220000000,3.15900000,3.15990000,3.13570000,3.14290000,238228.40000000,1749773279999999,749013.97043000,3151,110869.60000000,348520.54318000,0
1749773280000000,3.14270000,3.14610000,3.13650000,3.14540000,207508.90000000,1749773339999999,652055.52432000,2449,96283.40000000,302529.68765000,0
1749773340000000,3.14500000,3.14500000,3.12000000,3.12740000,469998.00000000,1749773399999999,1471827.92413000,4550,246974.20000000,773557.77728000,0
1749773400000000,3.12750000,3.12750000,3.08540000,3.09450000,909573.10000000,1749773459999999,2823648.94349000,8000,386985.70000000,1200983.38469000,0
1749773460000000,3.09460000,3.09710000,3.05200000,3.07380000,1299437.10000000,1749773519999999,3983573.97848000,10332,475993.00000000,1458380.01272000,0
1749773520000000,3.07440000,3.07680000,3.03200000,3.03370000,970289.50000000,1749773579999999,2962267.90099000,10023,508332.20000000,1551700.99288000,0
1749773580000000,3.03360000,3.06110000,3.02340000,3.03830000,796259.40000000,1749773639999999,2424285.95781000,8185,422672.90000000,1286942.96384000,0
1749773640000000,3.03840000,3.04750000,3.02150000,3.03980000,619289.40000000,1749773699999999,1878966.40758000,7000,338348.50000000,1026411.60324000,0
1749773700000000,3.03980000,3.04370000,3.02820000,3.03960000,991967.80000000,1749773759999999,3012663.76239000,7328,522297.50000000,1585944.13745000,0
1749773760000000,3.03930000,3.04950000,3.03020000,3.04870000,365822.00000000,1749773819999999,1111363.81103000,3826,237694.40000000,721830.69272000,0
1749773820000000,3.04880000,3.04910000,3.02840000,3.02900000,321084.70000000,1749773879999999,976060.35855000,4079,172440.60000000,524114.70158000,0
1749773880000000,3.02890000,3.05190000,3.02710000,3.05060000,354303.30000000,1749773939999999,1076402.56771000,3486,157569.10000000,478867.07516000,0
1749773940000000,3.05080000,3.06430000,3.04610000,3.04870000,511489.70000000,1749773999999999,1563183.05203000,3642,267868.30000000,818927.30289000,0
1749774000000000,3.04870000,3.05640000,3.04870000,3.05620000,223774.90000000,1749774059999999,683092.03468000,2070,119270.40000000,364071.08830000,0
1749774060000000,3.05610000,3.05810000,3.04980000,3.05080000,196787.00000000,1749774119999999,600859.74215000,1832,97903.80000000,298946.07118000,0
1749774120000000,3.05060000,3.05850000,3.04420000,3.04660000,221621.00000000,1749774179999999,676302.89222000,1888,117809.80000000,359604.79449000,0
1749774180000000,3.04650000,3.05100000,3.04170000,3.04530000,153722.40000000,1749774239999999,468263.56652000,1671,82757.30000000,252111.20116000,0
1749774240000000,3.04530000,3.04930000,3.03700000,3.03890000,202302.10000000,1749774299999999,615622.99365000,1490,100884.30000000,306979.50269000,0
1749774300000000,3.03940000,3.03940000,3.02290000,3.02930000,472420.00000000,1749774359999999,1430690.06665000,2920,228701.70000000,692390.27679000,0
1749774360000000,3.02940000,3.04370000,3.02920000,3.04310000,165653.50000000,1749774419999999,502911.72991000,1617,88276.30000000,267961.01109000,0
1749774420000000,3.04290000,3.04450000,3.03290000,3.03600000,144929.40000000,1749774479999999,440418.10469000,1382,68265.20000000,207415.61178000,0
1749774480000000,3.03600000,3.04380000,3.02890000,3.03390000,229248.20000000,1749774539999999,696371.04423000,2212,125333.60000000,380687.47559000,0
1749774540000000,3.03410000,3.04480000,3.03120000,3.03230000,129954.90000000,1749774599999999,394855.63015000,1568,71996.00000000,218706.47649000,0
1749774600000000,3.03240000,3.04720000,3.02820000,3.04420000,166461.60000000,1749774659999999,505251.79998000,1374,72968.90000000,221399.15342000,0
1749774660000000,3.04420000,3.04680000,3.02840000,3.03390000,152548.50000000,1749774719999999,463562.35999000,1463,63570.10000000,193198.12171000,0
1749774720000000,3.03380000,3.03430000,3.01950000,3.02170000,257763.10000000,1749774779999999,779589.64540000,1910,163469.00000000,494289.93715000,0
1749774780000000,3.02140000,3.02460000,3.01410000,3.02090000,548216.20000000,1749774839999999,1655111.04151000,3118,284112.70000000,857854.26431000,0
1749774840000000,3.02100000,3.02200000,2.99210000,3.00020000,701694.60000000,1749774899999999,2106562.32344000,5105,211347.20000000,634531.06785000,0
1749774900000000,3.00000000,3.01260000,2.98050000,2.98260000,551874.70000000,1749774959999999,1654349.11025000,4415,252184.80000000,756088.72193000,0
1749774960000000,2.98260000,2.98500000,2.95620000,2.96940000,619763.70000000,1749775019999999,1838156.47952000,5984,265034.60000000,785979.69184000,0
1749775020000000,2.96950000,2.99000000,2.96910000,2.98540000,396093.90000000,1749775079999999,1181689.81978000,3253,275744.30000000,822710.97481000,0
1749775080000000,2.98530000,2.99960000,2.98020000,2.99660000,257868.50000000,1749775139999999,770731.25021000,2524,117845.40000000,352370.31004000,0
